repo,product_slug,product_name,org,category,layer,openness_class,openness_bucket,adoption,capability,maturity
agent-infra/sandbox,agent-infra-sandbox,Agent Infra Sandbox,Agent Infra,deployment,infrastructure,open_source,open,1,3,1.8
agenta-ai/agenta,agenta,Agenta,Agenta AI,telemetry_observability,product_ux,open_core,open,2,4,3.0
agentops-ai/agentops,agentops,AgentOps,AgentOps AI,telemetry_observability,product_ux,open_core,open,3,3,3.0
aider-ai/aider,aider,Aider,Aider AI,orchestration_agents,product_ux,open_source,open,3,3,3.0
airockchip/rknn-toolkit2,rockchip-rk3588,Rockchip RK3588,Rockchip,edge_hardware,infrastructure,documented,closed,5,4,4.5
alibaba/opensandbox,opensandbox,OpenSandbox,Alibaba,deployment,infrastructure,open_source,open,2,3,2.4
all-hands-ai/openhands,openhands,OpenHands,All Hands AI,orchestration_agents,product_ux,open_core,open,3,5,4.4
allenai/dolma,dolma,Dolma,Allen Institute for AI,training_synthetic_datasets,model_components,open,open,1,,1.0
allenai/olmo,olmo-2-instruct,OLMo 2 Instruct,Ai2,finetuned_chat,model_components,open_source,open,3,3,3.0
allenai/olmoe,olmoe-instruct,OLMoE Instruct,Ai2,finetuned_chat,model_components,open_source,open,3,2,2.3
allenai/open-instruct,olmo-2-instruct,OLMo 2 Instruct,Ai2,finetuned_chat,model_components,open_source,open,3,3,3.0
anthropic-experimental/sandbox-runtime,sandbox-runtime,sandbox-runtime,Anthropic,deployment,infrastructure,open_source,open,2,3,2.4
anthropics/claude-code,claude-code,Claude Code,Anthropic,orchestration_agents,product_ux,closed,closed,4,5,4.7
anthropics/hh-rlhf,hh-rlhf,HH-RLHF (Anthropic Helpful/Harmless),Anthropic,training_synthetic_datasets,model_components,open,open,2,,2.0
antirez/ds4,ds4,ds4,antirez (Salvatore Sanfilippo),inference_code,model_components,open_source,open,2,3,2.5
arize-ai/phoenix,phoenix,Phoenix,Arize AI,telemetry_observability,product_ux,source_available,open-ish,4,4,4.0
assafelovic/gpt-researcher,gpt-researcher,GPT Researcher,Assaf Elovic,orchestration_agents,product_ux,open_source,open,3,3,3.0
axelera-ai-hub/voyager-sdk,axelera-metis-aipu,Axelera Metis AIPU,Axelera AI,edge_hardware,infrastructure,documented,closed,3,4,3.5
axolotl-ai-cloud/axolotl,axolotl,Axolotl,Axolotl AI,finetuning_code,model_components,open_source,open,2,4,3.0
beagleboard/beagley-ai,beagley-ai,BeagleY-AI,BeagleBoard.org Foundation,edge_hardware,infrastructure,open_hardware,open,4,3,3.5
beam-cloud/beta9,beta9,Beta9,Beam Cloud,deployment,infrastructure,open_core,open,2,3,2.4
berriai/litellm,litellm,LiteLLM,BerriAI,ui_api,product_ux,open_core,open,3,4,3.3
betagouv/comparia,compar-ia,Compar:IA,DINUM / beta.gouv.fr (French Government),evaluation_code,model_components,open_source,open,3,4,3.5
