full_name,description,stargazers_count,forks_count,language,topics,html_url,created_at,updated_at
openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,377986,79049,TypeScript,"['ai', 'assistant', 'crustacean', 'molty', 'openclaw', 'own-your-data', 'personal']",https://github.com/openclaw/openclaw,2025-11-24T10:16:47Z,2026-06-10T20:21:06Z
n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",191958,58445,TypeScript,"['ai', 'apis', 'automation', 'cli', 'data-flow', 'development', 'integration-framework', 'integrations', 'ipaas', 'low-code', 'low-code-platform', 'mcp', 'mcp-client', 'mcp-server', 'n8n', 'no-code', 'self-hosted', 'typescript', 'workflow', 'workflow-automation']",https://github.com/n8n-io/n8n,2019-06-22T09:24:21Z,2026-06-10T20:25:35Z
NousResearch/hermes-agent,The agent that grows with you,189833,32877,Python,"['ai', 'ai-agent', 'ai-agents', 'anthropic', 'chatgpt', 'claude', 'claude-code', 'clawdbot', 'codex', 'hermes', 'hermes-agent', 'llm', 'moltbot', 'nous-research', 'openai', 'openclaw']",https://github.com/NousResearch/hermes-agent,2025-07-22T22:22:28Z,2026-06-10T20:24:21Z
Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",184877,46162,Python,"['agentic-ai', 'agents', 'ai', 'artificial-intelligence', 'autonomous-agents', 'claude', 'gpt', 'llama-api', 'llm', 'openai', 'python']",https://github.com/Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2026-06-10T20:22:29Z
AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,163599,30366,Python,"['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2026-06-10T20:24:32Z
f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",163524,21229,HTML,"['ai', 'artificial-intelligence', 'awesome-list', 'chatgpt', 'chatgpt-prompts', 'claude', 'gemini', 'gpt', 'gpt-4', 'llm', 'machine-learning', 'nextjs', 'open-source', 'openai', 'prompt-engineering', 'prompts', 'prompts-chat', 'typescript']",https://github.com/f/prompts.chat,2022-12-05T13:54:13Z,2026-06-10T20:22:48Z
Snailclimb/JavaGuide,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发,156283,46141,JavaScript,"['agent', 'ai', 'context-engineering', 'deepseek', 'interview', 'java', 'mcp', 'mysql', 'redis', 'redisson', 'skills', 'springai', 'system-design']",https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2026-06-10T17:58:45Z
langgenius/dify,Production-ready platform for agentic workflow development.,144736,22779,TypeScript,"['agent', 'agentic-ai', 'agentic-framework', 'agentic-workflow', 'ai', 'automation', 'gemini', 'genai', 'gpt', 'gpt-4', 'llm', 'low-code', 'mcp', 'nextjs', 'no-code', 'openai', 'orchestration', 'python', 'rag', 'workflow']",https://github.com/langgenius/dify,2023-04-12T07:40:24Z,2026-06-10T20:04:08Z
open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",140987,20239,Python,"['ai', 'llm', 'llm-ui', 'llm-webui', 'llms', 'mcp', 'ollama', 'ollama-webui', 'open-webui', 'openai', 'openapi', 'rag', 'self-hosted', 'ui', 'webui']",https://github.com/open-webui/open-webui,2023-10-06T22:08:27Z,2026-06-10T20:24:05Z
x1xhlol/system-prompts-and-models-of-ai-tools,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",139471,34584,,"['ai', 'bolt', 'cluely', 'copilot', 'cursor', 'cursorai', 'devin', 'github-copilot', 'lovable', 'open-source', 'perplexity', 'replit', 'system-prompts', 'trae', 'trae-ai', 'trae-ide', 'v0', 'vscode', 'windsurf', 'windsurf-ai']",https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,2026-06-10T20:02:48Z
