# The undigested legacy tail: sources cited before the digest discipline, listed exactly.
#
# A source with no `content_sha256` cannot be re-fetched, so `check_refetch` - the only gate
# that goes and looks - is blind to it. `check_verification` requires a digest on any source
# backing a CLAIMED DATE, which is the right scope for a gate clearable inside one PR, and it
# leaves this behind.
#
# An explicit list rather than a count, because a count only prevents NET growth: a pass could
# digest an old source while citing a new undigested one and the number would not move. Every
# entry here is grandfathered; anything NOT here must carry a digest.
#
# Shrinking it is the point. When a refresh pass digests a source, delete its line - and
# `tests/test_digest_ratchet.py` fails if a line here no longer describes an undigested source,
# so the list cannot rot into a permanent exemption.
#
# `slug|axis|url`, sorted.
agent-infra-sandbox|capability|https://github.com/agent-infra/sandbox
agent-infra-sandbox|openness|https://github.com/agent-infra/sandbox
agent2agent-protocol|openness|https://github.com/a2aproject/A2A
agenta|openness|https://github.com/Agenta-AI/agenta
agentops|openness|https://github.com/AgentOps-AI/agentops
alia-40b|adoption|https://huggingface.co/BSC-LT/ALIA-40b
alia-40b|openness|https://github.com/langtech-bsc/alia
alpacaeval|capability|https://github.com/tatsu-lab/alpaca_eval
alpacaeval|openness|https://github.com/tatsu-lab/alpaca_eval
amazon-bedrock-evaluations|adoption|https://aws.amazon.com/blogs/machine-learning/evaluate-models-or-rag-systems-using-amazon-bedrock-evaluations-now-generally-available/
amazon-bedrock-evaluations|capability|https://aws.amazon.com/bedrock/evaluations/
amazon-bedrock-evaluations|capability|https://aws.amazon.com/blogs/machine-learning/evaluate-models-or-rag-systems-using-amazon-bedrock-evaluations-now-generally-available/
amazon-bedrock-evaluations|openness|https://aws.amazon.com/bedrock/evaluations/
amazon-bedrock-evaluations|openness|https://docs.aws.amazon.com/bedrock/latest/userguide/evaluation.html
arduino-uno-q|capability|https://store.arduino.cc/pages/uno-q
artificial-analysis-intelligence-index|adoption|https://artificialanalysis.ai/
artificial-analysis-intelligence-index|adoption|https://artificialanalysis.ai/methodology/intelligence-benchmarking
artificial-analysis-intelligence-index|capability|https://artificialanalysis.ai/
artificial-analysis-intelligence-index|capability|https://artificialanalysis.ai/methodology/intelligence-benchmarking
artificial-analysis-intelligence-index|openness|https://artificialanalysis.ai/methodology/intelligence-benchmarking
artificial-analysis-intelligence-index|openness|https://github.com/ArtificialAnalysis/Stirrup
aws-lambda|adoption|https://aws.amazon.com/blogs/aws/firecracker-lightweight-virtualization-for-serverless-computing/
aws-lambda|capability|https://aws.amazon.com/blogs/aws/firecracker-lightweight-virtualization-for-serverless-computing/
aws-lambda|openness|https://aws.amazon.com/blogs/aws/firecracker-lightweight-virtualization-for-serverless-computing/
aya-collection|capability|https://huggingface.co/blog/aya-expanse
aya-collection|capability|https://ritvik19.medium.com/papers-explained-151-aya-23-d01605c3ee80
beta9|adoption|https://github.com/beam-cloud/beta9
beta9|capability|https://github.com/beam-cloud/beta9
beta9|capability|https://www.computesdk.com/benchmarks/sandboxes/
beta9|openness|https://github.com/beam-cloud/beta9
bigcodebench|adoption|https://github.com/bigcode-project/bigcodebench
