model_family,hf_author,github_repo,model_examples,category,notes
llama-3,meta-llama,meta-llama/llama3,"Meta-Llama-3-8B,Meta-Llama-3-70B",llm,Llama 3 base models
llama-3.1,meta-llama,meta-llama/llama3,"Meta-Llama-3.1-8B,Meta-Llama-3.1-70B,Meta-Llama-3.1-405B",llm,Llama 3.1 series
llama-3.2,meta-llama,meta-llama/llama3,"Llama-3.2-1B,Llama-3.2-3B,Llama-3.2-11B-Vision",llm,Llama 3.2 including vision
llama-3.3,meta-llama,meta-llama/llama3,"Llama-3.3-70B-Instruct",llm,Llama 3.3
llama-2,meta-llama,meta-llama/llama,"Llama-2-7b,Llama-2-13b,Llama-2-70b",llm,Legacy Llama 2
codellama,meta-llama,meta-llama/codellama,"CodeLlama-7b,CodeLlama-34b",code,Code-specialized Llama
qwen2.5,Qwen,qwenlm/qwen,"Qwen2.5-0.5B,Qwen2.5-7B,Qwen2.5-72B",llm,Qwen 2.5 series
qwen2,Qwen,qwenlm/qwen,"Qwen2-7B,Qwen2-72B",llm,Qwen 2
qwen3,Qwen,qwenlm/qwen3,"Qwen3-0.6B,Qwen3-8B,Qwen3-32B",llm,Qwen 3
qwen2.5-coder,Qwen,qwenlm/qwen-code,"Qwen2.5-Coder-1.5B,Qwen2.5-Coder-7B",code,Qwen code models
qwen2.5-vl,Qwen,qwenlm/qwen-vl,"Qwen2.5-VL-7B-Instruct",vision,Qwen vision-language
qwen3-vl,Qwen,qwenlm/qwen3-vl,"Qwen3-VL-2B-Instruct",vision,Qwen 3 vision-language
mistral,mistralai,mistralai/mistral-inference,"Mistral-7B-v0.1,Mistral-Nemo,Mistral-Small,Mistral-Large",llm,All Mistral models
mixtral,mistralai,mistralai/mistral-inference,"Mixtral-8x7B-v0.1",llm,Mixtral MoE
gemma-2,google,google/gemma_pytorch,"gemma-2-2b,gemma-2-9b,gemma-2-27b",llm,Gemma 2
gemma,google,google/gemma_pytorch,"gemma-2b,gemma-7b",llm,Original Gemma
phi-4,microsoft,microsoft/phicookbook,"phi-4",llm,Phi 4
phi-3,microsoft,microsoft/phicookbook,"Phi-3-mini-4k-instruct,Phi-3.5-mini",llm,Phi 3
deepseek-v3,deepseek-ai,deepseek-ai/deepseek-v3,"DeepSeek-V3",llm,DeepSeek V3
deepseek-r1,deepseek-ai,deepseek-ai/deepseek-r1,"DeepSeek-R1,DeepSeek-R1-Distill-Qwen-7B",llm,DeepSeek R1 + distillations
deepseek-coder,deepseek-ai,deepseek-ai/deepseek-coder,"DeepSeek-Coder-V2",code,DeepSeek code
smollm2,HuggingFaceTB,huggingface/smollm,"SmolLM2-135M,SmolLM2-1.7B",llm,HuggingFace SmolLM2
falcon-3,tiiuae,tiiuae/falcon-perception,"Falcon3-10B-Base",llm,Falcon 3
olmoe,allenai,allenai/olmoe,"OLMoE-1B-7B-0924",llm,Allen AI OLMoE
olmo,allenai,allenai/olmo,"OLMo-2-1124-13B",llm,Allen AI OLMo
granite,ibm-granite,ibm-granite/granite-code-models,"granite-3.2-8b-instruct",llm,IBM Granite
yi,01-ai,01-ai/yi,"Yi-1.5-34B-Chat,Yi-1.5-9B",llm,01.AI Yi
mpt,mosaicml,mosaicml/llm-foundry,"mpt-7b,mpt-30b",llm,MosaicML MPT
dbrx,databricks,databricks/megablocks,"dbrx-base,dbrx-instruct",llm,Databricks DBRX
pythia,EleutherAI,eleutherai/pythia,"pythia-70m,pythia-1b,pythia-12b",llm,EleutherAI Pythia
gpt-neox,EleutherAI,eleutherai/gpt-neox,"gpt-neox-20b",llm,EleutherAI GPT-NeoX
bloom,bigscience,bigscience-workshop/bigscience,"bloom,bloomz",llm,BigScience BLOOM
gpt-2,openai-community,openai/gpt-2,"gpt2,gpt2-medium,gpt2-large,gpt2-xl",llm,OpenAI GPT-2 (open weights)
