repo,product_slug,product_name,org,category,layer,openness_class,openness_bucket
agent-infra/sandbox,agent-infra-sandbox,Agent Infra Sandbox,Agent Infra,deployment,infrastructure,open_source,open
agenta-ai/agenta,agenta,Agenta,Agenta AI,telemetry_observability,product_ux,open_core,open
agentops-ai/agentops,agentops,AgentOps,AgentOps AI,telemetry_observability,product_ux,open_core,open
aider-ai/aider,aider,Aider,Aider AI,orchestration_agents,product_ux,open_source,open
airockchip/rknn-toolkit2,rockchip-rk3588,Rockchip RK3588,Rockchip,edge_hardware,infrastructure,documented,closed
alibaba/opensandbox,opensandbox,OpenSandbox,Alibaba,deployment,infrastructure,open_source,open
all-hands-ai/openhands,openhands,OpenHands,All Hands AI,orchestration_agents,product_ux,open_core,open
allenai/dolma,dolma,Dolma,Allen Institute for AI,training_synthetic_datasets,model_components,open,open
anthropic-experimental/sandbox-runtime,sandbox-runtime,sandbox-runtime,Anthropic,deployment,infrastructure,open_source,open
anthropics/claude-code,claude-code,Claude Code,Anthropic,orchestration_agents,product_ux,closed,closed
anthropics/hh-rlhf,hh-rlhf,HH-RLHF (Anthropic Helpful/Harmless),Anthropic,training_synthetic_datasets,model_components,open,open
antirez/ds4,ds4,ds4,antirez (Salvatore Sanfilippo),inference_code,model_components,open_source,open
arize-ai/phoenix,phoenix,Phoenix,Arize AI,telemetry_observability,product_ux,source_available,open-ish
assafelovic/gpt-researcher,gpt-researcher,GPT Researcher,Assaf Elovic,orchestration_agents,product_ux,open_source,open
axelera-ai-hub/voyager-sdk,axelera-metis-aipu,Axelera Metis AIPU,Axelera AI,edge_hardware,infrastructure,documented,closed
axolotl-ai-cloud/axolotl,axolotl,Axolotl,Axolotl AI,finetuning_code,model_components,open_source,open
beagleboard/beagley-ai,beagley-ai,BeagleY-AI,BeagleBoard.org Foundation,edge_hardware,infrastructure,open_hardware,open
beam-cloud/beta9,beta9,Beta9,Beam Cloud,deployment,infrastructure,open_core,open
berriai/litellm,litellm,LiteLLM,BerriAI,ui_api,product_ux,open_core,open
betagouv/comparia,compar-ia,Compar:IA,DINUM / beta.gouv.fr (French Government),evaluation_code,model_components,open_source,open
bigcode-project/bigcode-evaluation-harness,bigcodebench,BigCodeBench,BigCode Project,evaluation_code,model_components,open_source,open
bigcode-project/bigcodebench,bigcodebench,BigCodeBench,BigCode Project,evaluation_code,model_components,open_source,open
blinkdl/rwkv-lm,rwkv,RWKV,RWKV Project,base_pretrained,model_components,open_source,open
block/goose,goose,Goose,Block,orchestration_agents,product_ux,open_source,open
browser-use/browser-use,browser-use,Browser Use,Browser Use,agent_tools_protocols,product_ux,open_core,open
centerforaisafety/hle,humanitys-last-exam,Humanity's Last Exam (HLE),Center for AI Safety,benchmark_eval_data,model_components,gated,open-ish
cline/cline,cline,Cline,Cline,orchestration_agents,product_ux,open_source,open
coder/coder,coder-oss,Coder OSS,Coder,deployment,infrastructure,open_core,open
comet-ml/opik,opik,Opik,Comet ML,telemetry_observability,product_ux,open_source,open
composiohq/composio,composio,Composio,Composio,agent_tools_protocols,product_ux,open_core,open
conferlabs/confer-image,confer,Confer,Confer Labs,ui_api,product_ux,source_available,open-ish
conferlabs/confer-proxy,confer,Confer,Confer Labs,ui_api,product_ux,source_available,open-ish
confident-ai/deepeval,deepeval,DeepEval,Confident AI,evaluation_code,model_components,open_core,open
continuedev/continue,continue,Continue,Continue,ui_api,product_ux,open_source,open
crystaldba/postgres-mcp,postgres-mcp,Postgres MCP Pro,Crystal DBA,agent_tools_protocols,product_ux,open_source,open
danny-avila/librechat,librechat,LibreChat,LibreChat,ui_api,product_ux,open_source,open
datasette/datasette-agent,datasette-agent,Datasette Agent,Datasette,orchestration_agents,product_ux,open_source,open
daytonaio/daytona,daytona-sandbox,Daytona Sandbox,Daytona,deployment,infrastructure,open_core,open
deepseek-ai/deepseek-v3,deepseek-v3-base,DeepSeek-V3 Base,DeepSeek,base_pretrained,model_components,open_weights,open-ish
deepset-ai/haystack,haystack,Haystack,deepset,orchestration_agents,product_ux,open_core,open
deepspeedai/deepspeed,deepspeed,DeepSpeed,Microsoft,ml_frameworks,infrastructure,open_source,open
docling-project/docling,docling,Docling,IBM,agent_tools_protocols,product_ux,open_source,open
e2b-dev/e2b,e2b-sandbox,E2B Sandbox,E2B,deployment,infrastructure,open_core,open
e2b-dev/infra,e2b-sandbox,E2B Sandbox,E2B,deployment,infrastructure,open_core,open
edgelesssys/privatemode-public,privatemode,Privatemode,Edgeless Systems,ui_api,product_ux,source_available,open-ish
eleutherai/lm-evaluation-harness,lm-evaluation-harness,lm-evaluation-harness,EleutherAI,evaluation_code,model_components,open_source,open
eleutherai/pythia,pythia,Pythia,EleutherAI,base_pretrained,model_components,open_source,open
explodinggradients/ragas,ragas,Ragas,Exploding Gradients,evaluation_code,model_components,open_source,open
facebookresearch/cruxeval,cruxeval,CRUXEval,Meta,benchmark_eval_data,model_components,open,open
firecracker-microvm/firecracker,firecracker,Firecracker,Amazon Web Services,deployment,infrastructure,open_source,open
foundationagents/openmanus,openmanus,OpenManus,FoundationAgents,orchestration_agents,product_ux,open_source,open
ggml-org/ggml,ggml,GGML,ggml-org (Georgi Gerganov),ml_frameworks,infrastructure,open_source,open
ggml-org/llama.cpp,llama-cpp,llama.cpp,ggml-org (Georgi Gerganov),inference_code,model_components,open_source,open
github/github-mcp-server,github-mcp,GitHub MCP Server,GitHub (Microsoft),agent_tools_protocols,product_ux,open_source,open
